date;Italy;US;Spain;Germany;Korea,South
2020-01-22;0;1;0;0;0.0
2020-01-23;0;1;0;0;0.0
2020-01-24;0;2;0;0;0.0
2020-01-25;0;2;0;0;0.0
2020-01-26;0;5;0;0;0.0
2020-01-27;0;5;0;1;0.0
2020-01-28;0;5;0;4;0.0
2020-01-29;0;6;0;4;0.0
2020-01-30;0;6;0;4;0.0
2020-01-31;2;8;0;5;0.0
2020-02-01;2;8;1;8;0.0
2020-02-02;2;8;1;10;0.0
2020-02-03;2;11;1;12;0.0
2020-02-04;2;11;1;12;0.0
2020-02-05;2;11;1;12;0.0
2020-02-06;2;12;1;12;0.0
2020-02-07;3;12;1;13;0.0
2020-02-08;3;12;1;13;0.0
2020-02-09;3;12;2;14;0.0
2020-02-10;3;12;2;14;0.0
2020-02-11;3;13;2;16;0.0
2020-02-12;3;13;2;16;0.0
2020-02-13;3;14;2;16;0.0
2020-02-14;3;14;2;16;0.0
2020-02-15;3;14;2;16;0.0
2020-02-16;3;14;2;16;0.0
2020-02-17;3;14;2;16;0.0
2020-02-18;3;14;2;16;0.0
2020-02-19;3;14;2;16;0.0
2020-02-20;3;14;2;16;0.0
2020-02-21;20;16;2;16;0.0
2020-02-22;62;16;2;16;0.0
2020-02-23;155;16;2;16;0.0
2020-02-24;229;16;2;16;0.0
2020-02-25;322;16;6;16;0.0
2020-02-26;453;16;13;21;0.0
2020-02-27;655;17;15;26;0.0
2020-02-28;888;17;32;53;0.0
2020-02-29;1128;25;45;66;0.0
2020-03-01;1694;32;84;117;0.0
2020-03-02;2036;55;120;150;0.0
2020-03-03;2502;74;165;188;0.0
2020-03-04;3089;107;222;240;0.0
2020-03-05;3858;184;259;349;0.0
2020-03-06;4636;237;400;534;0.0
2020-03-07;5883;403;500;684;0.0
2020-03-08;7375;519;673;847;0.0
2020-03-09;9172;594;1073;1112;0.0
2020-03-10;10149;782;1695;1296;0.0
2020-03-11;12462;1147;2277;1567;0.0
2020-03-12;15113;1586;2277;2369;0.0
2020-03-13;17660;2219;5232;3062;0.0
2020-03-14;21157;2978;6391;3795;0.0
2020-03-15;24747;3212;7798;4838;0.0
2020-03-16;27980;4679;9942;6012;0.0
2020-03-17;31506;6512;11748;7156;0.0
2020-03-18;35713;9169;13910;8198;0.0
2020-03-19;41035;13663;17963;10999;0.0
2020-03-20;47021;20030;20410;13957;0.0
2020-03-21;53578;26025;25374;16662;0.0
2020-03-22;59138;34944;28768;18610;0.0
2020-03-23;63927;46096;35136;22672;0.0
2020-03-24;69176;56714;39885;27436;0.0
2020-03-25;74386;68841;49515;31554;0.0
2020-03-26;80589;86662;57786;36508;0.0
2020-03-27;86498;105253;65719;42288;0.0
2020-03-28;92472;127417;73235;48582;0.0
2020-03-29;97689;143544;80110;52547;0.0
2020-03-30;101739;165698;87956;57298;0.0
2020-03-31;105792;192079;95923;61913;0.0
2020-04-01;110574;223254;104118;67366;0.0
2020-04-02;115242;255530;112065;73522;0.0
2020-04-03;119827;287931;119199;79696;0.0
2020-04-04;124632;319776;126168;85778;0.0
2020-04-05;128948;349016;131646;91714;0.0
2020-04-06;132547;380798;136675;95391;0.0
2020-04-07;135586;410834;141942;99225;0.0
2020-04-08;139422;441897;148220;103228;0.0
2020-04-09;143626;477507;153222;108202;0.0
2020-04-10;147577;511790;158273;113525;0.0
2020-04-11;152271;540714;163027;117658;0.0
2020-04-12;156363;567022;166831;120479;0.0
2020-04-13;159516;594165;170099;123016;0.0
2020-04-14;162488;622493;172541;125098;0.0
2020-04-15;165155;648390;177644;127584;0.0
2020-04-16;168941;678028;184948;130450;0.0
2020-04-17;172434;711135;190839;133830;0.0
2020-04-18;175925;738464;191726;137439;0.0
2020-04-19;178972;763886;198674;139897;0.0
2020-04-20;181228;793970;200210;141672;0.0
2020-04-21;183957;820045;204178;143457;0.0
2020-04-22;187327;849926;208389;145694;0.0
2020-04-23;189973;881891;213024;148046;0.0
2020-04-24;192994;913856;202990;150383;0.0
2020-04-25;195351;944770;205905;152438;0.0
2020-04-26;197675;970741;207634;154175;0.0
2020-04-27;199414;995391;209465;155193;0.0
2020-04-28;201505;1019964;210773;156337;0.0
2020-04-29;203591;1046816;212917;157641;0.0
2020-04-30;205463;1076518;213435;159119;0.0
2020-05-01;207428;1111410;215216;160758;0.0
2020-05-02;209328;1138174;216582;161703;0.0
2020-05-03;210717;1161907;217466;162496;0.0
2020-05-04;211938;1185709;218011;163175;0.0
2020-05-05;213013;1209729;219329;163860;0.0
2020-05-06;214457;1234211;220325;164807;0.0
2020-05-07;215858;1261950;221447;166091;0.0
2020-05-08;217185;1289133;222857;167300;0.0
2020-05-09;218268;1313587;223578;168551;0.0
2020-05-10;219070;1332334;224350;169218;0.0
2020-05-11;219814;1351411;227436;169575;0.0
2020-05-12;221216;1374792;228030;170508;0.0
2020-05-13;222104;1394807;228691;171306;0.0
2020-05-14;223096;1420697;229540;172239;0.0
2020-05-15;223885;1445548;230183;173152;0.0
2020-05-16;224760;1469598;230698;173772;0.0
2020-05-17;225435;1488327;230698;174355;0.0
2020-05-18;225886;1510635;231606;174697;0.0
2020-05-19;226699;1531138;232037;175210;0.0
2020-05-20;227364;1553966;232555;176007;0.0
2020-05-21;228006;1579118;233037;176752;0.0
2020-05-22;228658;1602947;234824;177212;0.0
2020-05-23;229327;1623136;235290;177850;0.0
2020-05-24;229858;1643310;235772;178281;0.0
2020-05-25;230158;1662404;235400;178570;0.0
2020-05-26;230555;1681130;236259;179002;0.0
2020-05-27;231139;1699893;236259;179364;0.0
2020-05-28;231732;1721160;237906;179717;0.0
2020-05-29;232248;1746242;238564;180458;0.0
2020-05-30;232664;1769322;239228;181196;0.0
2020-05-31;232997;1788241;239479;181482;0.0
2020-06-01;233197;1806081;239638;181815;0.0
2020-06-02;233515;1826171;239932;182028;0.0
2020-06-03;233836;1845327;240326;182370;0.0
2020-06-04;234013;1873261;240660;182764;0.0
2020-06-05;234531;1899701;240978;183271;0.0
2020-06-06;234801;1919970;241310;183678;0.0
2020-06-07;234998;1937796;241550;183979;0.0
2020-06-08;235278;1954696;241717;184193;0.0
2020-06-09;235561;1975017;241966;184543;0.0
2020-06-10;235763;1996735;242280;184861;0.0
2020-06-11;236142;2019013;242707;185416;0.0
2020-06-12;236305;2044571;243209;185674;0.0
2020-06-13;236651;2068728;243605;186022;0.0
2020-06-14;236989;2087629;243928;186269;0.0
2020-06-15;237290;2108628;244109;186461;0.0
2020-06-16;237500;2133177;244328;186839;0.0
2020-06-17;237828;2160227;244683;187184;0.0
2020-06-18;238159;2188454;245268;187764;0.0
2020-06-19;238011;2219508;245575;188534;0.0
2020-06-20;238275;2251334;245938;189135;0.0
2020-06-21;238499;2277170;246272;189822;0.0
2020-06-22;238720;2306971;246504;190359;0.0
2020-06-23;238833;2345700;246752;190862;0.0
2020-06-24;239410;2381951;247086;191449;0.0
2020-06-25;239706;2421250;247486;192079;0.0
2020-06-26;239961;2470296;247905;192556;0.0
2020-06-27;240136;2511050;248469;193243;0.0
2020-06-28;240310;2553975;248770;193499;0.0
2020-06-29;240436;2595272;248970;193761;0.0
2020-06-30;240578;2645097;249271;194259;0.0
2020-07-01;240760;2694220;249659;194725;0.0
2020-07-02;240961;2749163;250103;195228;0.0
2020-07-03;241184;2800668;250545;195674;0.0
2020-07-04;241419;2846614;250545;196096;0.0
2020-07-05;241611;2900342;250545;196335;0.0
2020-07-06;241819;2943508;251789;196554;0.0
2020-07-07;241956;3000739;252130;196944;0.0
2020-07-08;242149;3061045;252513;197341;0.0
2020-07-09;242363;3120701;253056;197783;0.0
2020-07-10;242639;3189561;253908;198178;0.0
2020-07-11;242827;3250000;253908;198556;0.0
2020-07-12;243061;3310132;253908;198804;0.0
2020-07-13;243230;3369496;255953;198963;0.0
2020-07-14;243344;3435158;256619;199375;0.0
2020-07-15;243506;3501184;257494;199726;0.0
2020-07-16;243736;3571998;258855;200260;0.0
2020-07-17;243967;3638470;260255;200843;0.0
2020-07-18;244216;3702792;260255;201372;0.0
2020-07-19;244434;3761724;260255;201574;0.0
2020-07-20;244624;3822387;264836;201823;0.0
2020-07-21;244752;3890581;266194;202345;0.0
2020-07-22;245032;3958126;267551;202799;0.0
2020-07-23;245338;4026012;270166;203368;0.0
2020-07-24;245590;4101159;272421;204183;0.0
2020-07-25;245864;4165359;272421;204964;0.0
2020-07-26;246118;4221198;272421;205269;0.0
2020-07-27;246286;4280922;278782;205609;0.0
2020-07-28;246488;4345753;280610;206242;0.0
2020-07-29;246776;4409882;282641;206926;0.0
2020-07-30;247158;4479123;285430;207828;0.0
2020-07-31;247537;4543699;288522;208698;0.0
2020-08-01;247832;4601277;288522;209653;0.0
2020-08-02;248070;4648386;288522;209893;0.0
2020-08-03;248229;4690070;297054;210402;0.0
2020-08-04;248419;4751727;302814;211281;0.0
2020-08-05;248803;4806075;305767;212022;0.0
2020-08-06;249204;4866254;309855;213067;0.0
2020-08-07;249756;4926841;314362;214214;0.0
2020-08-08;250103;4990774;314362;215336;0.0
2020-08-09;250566;5045041;314362;215891;0.0
2020-08-10;250825;5096658;322980;216327;0.0
2020-08-11;251237;5153612;326612;217293;0.0
2020-08-12;251713;5208856;329784;218519;0.0
2020-08-13;252235;5260512;337334;219964;0.0
2020-08-14;252809;5330637;342813;221413;0.0
2020-08-15;253438;5383031;342813;222828;0.0
2020-08-16;253915;5417693;342813;223453;0.0
2020-08-17;254235;5455542;359082;224014;0.0
2020-08-18;254636;5500444;364196;225404;0.0
2020-08-19;255278;5546328;370867;226914;0.0
2020-08-20;256118;5591456;377906;228621;0.0
2020-08-21;257065;5639047;386054;230048;0.0
2020-08-22;258136;5684719;386054;232082;0.0
2020-08-23;259345;5716630;386054;232864;0.0
2020-08-24;260298;5750553;405436;233575;0.0
2020-08-25;261174;5793226;412553;234853;0.0
2020-08-26;262540;5835299;419849;236429;0.0
2020-08-27;263949;5885817;429507;237936;0.0
2020-08-28;265409;5932287;439286;239507;0.0
2020-08-29;266853;5975390;439286;240986;0.0
2020-08-30;268218;6009521;439286;241771;0.0
2020-08-31;269214;6042883;462858;242381;0.0
2020-09-01;270189;6084862;470973;243599;0.0
2020-09-02;271515;6124823;479554;244855;0.0
2020-09-03;272912;6169964;488513;246166;0.0
2020-09-04;274644;6218298;498989;247619;0.0
2020-09-05;276338;6261921;498989;248997;0.0
2020-09-06;277634;6291040;498989;249985;0.0
2020-09-07;278784;6315603;525549;250799;0.0
2020-09-08;280153;6342347;534513;252298;0.0
2020-09-09;281583;6375987;543379;253474;0.0
2020-09-10;283180;6415435;554143;255366;0.0
2020-09-11;284796;6460058;566326;256850;0.0
2020-09-12;286297;6505641;566326;258480;0.0
2020-09-13;287753;6545932;566326;259428;0.0
2020-09-14;288761;6578496;593730;260355;0.0
2020-09-15;289990;6615674;603167;261762;0.0
2020-09-16;291442;6653966;614360;263663;0.0
2020-09-17;293025;6699284;625651;265857;0.0
2020-09-18;294932;6749468;640040;267773;0.0
2020-09-19;296569;6795246;640040;270070;0.0
2020-09-20;298156;6836856;640040;271415;0.0
2020-09-21;299506;6868899;671468;272337;0.0
2020-09-22;300897;6907170;682267;274158;0.0
2020-09-23;302537;6948290;693556;275927;0.0
2020-09-24;304323;6997173;704209;278070;0.0
2020-09-25;306235;7044309;716481;280223;0.0
2020-09-26;308104;7087856;716481;282730;0.0
2020-09-27;309870;7121635;716481;284140;0.0
2020-09-28;311364;7159375;748266;285332;0.0
2020-09-29;313011;7201407;748266;287421;0.0
2020-09-30;314861;7240039;769188;289219;0.0
2020-10-01;317409;7286282;778607;291722;0.0
2020-10-02;319908;7339725;789932;294395;0.0
2020-10-03;322751;7389006;789932;296958;0.0
2020-10-04;325329;7422136;789932;299237;0.0
2020-10-05;327586;7459493;813412;300619;0.0
2020-10-06;330263;7504039;825410;303258;0.0
2020-10-07;333940;7553176;835901;306086;0.0
2020-10-08;338398;7611066;848324;310144;0.0
2020-10-09;343770;7666145;861112;314660;0.0
2020-10-10;349494;7721512;861112;319381;0.0
2020-10-11;354950;7768412;861112;322864;0.0
2020-10-12;359569;7810492;888968;325331;0.0
2020-10-13;365467;7860615;896086;329453;0.0
2020-10-14;372799;7919057;908056;334585;0.0
2020-10-15;381602;7982595;921374;341223;0.0
2020-10-16;391611;8052769;936560;348557;0.0
2020-10-17;402536;8107601;936560;356387;0.0
2020-10-18;414241;8159771;936560;361974;0.0
2020-10-19;423578;8227653;974449;366299;0.0
2020-10-20;434449;8289390;988322;373167;0.0
2020-10-21;449648;8350096;1005295;380762;0.0
2020-10-22;465726;8429717;1026281;392049;0.0
2020-10-23;484869;8511376;1046132;403291;0.0
2020-10-24;504509;8589751;1046132;418005;0.0
2020-10-25;525782;8650726;1046132;429181;0.0
2020-10-26;542789;8715290;1098320;437866;0.0
2020-10-27;564778;8792513;1116738;449275;0.0
2020-10-28;589766;8878990;1136503;464239;0.0
2020-10-29;616595;8970283;1160083;481013;0.0
2020-10-30;647674;9070130;1185678;499694;0.0
2020-10-31;679430;9157473;1185678;518753;0.0
2020-11-01;709335;9235303;1185678;532930;0.0
2020-11-02;731588;9317109;1240697;545027;0.0
2020-11-03;759829;9441875;1259366;560379;0.0
2020-11-04;790377;9542136;1284408;577593;0.0
2020-11-05;824879;9670217;1306316;597583;0.0
2020-11-06;862681;9797272;1328832;619089;0.0
2020-11-07;902490;9924336;1328832;642488;0.0
2020-11-08;935104;10044009;1328832;658505;0.0
2020-11-09;960373;10160964;1381218;671868;0.0
2020-11-10;995463;10297518;1381218;687200;0.0
2020-11-11;1028424;10445200;1417709;705687;0.0
2020-11-12;1066401;10603995;1437220;727553;0.0
2020-11-13;1107303;10783514;1458591;751095;0.0
2020-11-14;1144552;10947564;1458591;773556;0.0
2020-11-15;1178529;11087279;1458591;790503;0.0
2020-11-16;1205881;11240367;1496864;801327;0.0
2020-11-17;1238072;11405015;1510023;815746;0.0
2020-11-18;1272352;11576984;1525341;833307;0.0
2020-11-19;1308528;11769284;1541574;855916;0.0
2020-11-20;1345767;11970952;1556730;879564;0.0
2020-11-21;1380531;12150771;1556730;902528;0.0
2020-11-22;1408868;12297358;1556730;918269;0.0
2020-11-23;1431795;12478869;1582616;929133;0.0
2020-11-24;1455022;12652431;1594844;942687;0.0
2020-11-25;1480874;12832643;1605066;961320;0.0
2020-11-26;1509875;12949892;1617355;983588;0.0
2020-11-27;1538217;13164526;1628208;1006394;0.0
2020-11-28;1564532;13332750;1628208;1028089;0.0
2020-11-29;1585178;13473101;1628208;1042700;0.0
2020-11-30;1601554;13628015;1648187;1053869;0.0
2020-12-01;1620901;13825131;1656444;1067473;0.0
2020-12-02;1641610;14021291;1665775;1084743;0.0
2020-12-03;1664829;14241510;1675902;1106789;0.0
2020-12-04;1688939;14476879;1684647;1130238;0.0
2020-12-05;1709991;14698887;1684647;1153556;0.0
2020-12-06;1728878;14878212;1684647;1171323;0.0
2020-12-07;1742557;15073671;1702328;1183655;0.0
2020-12-08;1757394;15300726;1702328;1197709;0.0
2020-12-09;1770149;15516732;1712101;1218524;0.0
2020-12-10;1787147;15753677;1720056;1242203;0.0
2020-12-11;1805873;15992578;1730575;1272078;0.0
2020-12-12;1825775;16217115;1730575;1300516;0.0
2020-12-13;1843712;16408708;1730575;1320716;0.0
2020-12-14;1855737;16618531;1751884;1337078;0.0
2020-12-15;1870576;16844844;1762212;1351510;0.0
2020-12-16;1888144;17079647;1773290;1379238;0.0
2020-12-17;1906377;17319893;1785421;1406161;0.0
2020-12-18;1921778;17567839;1797236;1439938;0.0
2020-12-19;1938083;17773691;1797236;1471238;0.0
2020-12-20;1953185;17960885;1797236;1494009;0.0
2020-12-21;1964054;18157739;1819249;1510652;0.0
2020-12-22;1977370;18363670;1829903;1530180;0.0
2020-12-23;1991278;18585107;1842289;1554920;0.0
2020-12-24;2009317;18798055;1854951;1587115;0.0
2020-12-25;2028354;18925234;1854951;1612648;0.0
2020-12-26;2038759;19142672;1854951;1627103;0.0
2020-12-27;2047696;19278635;1854951;1640858;0.0
2020-12-28;2056277;19451935;1879413;1651834;0.0
2020-12-29;2067487;19657909;1893502;1664726;0.0
2020-12-30;2083689;19876203;1910218;1687185;0.0
2020-12-31;2107166;20191291;1928265;1719737;0.0
2021-01-01;2129376;20370188;1928265;1742661;0.0
2021-01-02;2141201;20642467;1928265;1755351;0.0
2021-01-03;2155446;20845869;1928265;1765666;0.0
2021-01-04;2166244;21031371;1958844;1775513;0.0
2021-01-05;2181619;21264231;1982544;1787410;0.0
2021-01-06;2201945;21523991;1982544;1808647;0.0
2021-01-07;2220361;21810234;2024904;1835038;0.0
2021-01-08;2237890;22114297;2050360;1866887;0.0
2021-01-09;2257866;22379028;2050360;1891581;0.0
2021-01-10;2276491;22589870;2050360;1908527;0.0
2021-01-11;2289021;22793833;2111782;1921024;0.0
2021-01-12;2303263;23015647;2137220;1933826;0.0
2021-01-13;2319036;23244979;2176089;1953426;0.0
2021-01-14;2336279;23480551;2211967;1978590;0.0
2021-01-15;2352423;23725554;2252164;2000958;0.0
2021-01-16;2368733;23943244;2252164;2019636;0.0
2021-01-17;2381277;24119799;2252164;2033518;0.0
2021-01-18;2390102;24260622;2336451;2040659;0.0
2021-01-19;2400598;24417510;2370742;2052028;0.0
2021-01-20;2414166;24604890;2412318;2068002;0.0
2021-01-21;2428221;24797441;2456675;2088400;0.0
2021-01-22;2441854;24989209;2499560;2106262;0.0
2021-01-23;2455185;25167382;2499560;2122679;0.0
2021-01-24;2466813;25307525;2499560;2134936;0.0
2021-01-25;2475372;25437124;2593382;2141665;0.0
2021-01-26;2485956;25588130;2629817;2148077;0.0
2021-01-27;2501147;25743586;2670102;2161275;0.0
2021-01-28;2515507;25910345;2705001;2178828;0.0
2021-01-29;2529070;26074086;2743119;2192850;0.0
2021-01-30;2541783;26225025;2743119;2205171;0.0
2021-01-31;2553032;26337882;2743119;2216363;0.0
2021-02-01;2560957;26463196;2822805;2221971;0.0
2021-02-02;2570608;26580226;2851869;2228085;0.0
2021-02-03;2583790;26704596;2883465;2237790;0.0
2021-02-04;2597446;26829625;2913425;2252001;0.0
2021-02-05;2611659;26960734;2941990;2264909;0.0
2021-02-06;2625098;27077591;2941990;2275394;0.0
2021-02-07;2636738;27167019;2941990;2284010;0.0
2021-02-08;2644707;27249817;2989085;2288545;0.0
2021-02-09;2655319;27345198;3005487;2291924;0.0
2021-02-10;2668266;27440479;3023601;2299996;0.0
2021-02-11;2683403;27547250;3041454;2310233;0.0
2021-02-12;2697296;27647830;3056035;2320093;0.0
2021-02-13;2710819;27738586;3056035;2328447;0.0
2021-02-14;2721879;27806894;3056035;2334561;0.0
2021-02-15;2729223;27862342;3086286;2338987;0.0
2021-02-16;2739591;27921563;3096343;2342843;0.0
2021-02-17;2751657;27990409;3107172;2350399;0.0
2021-02-18;2765412;28062989;3121687;2360606;0.0
2021-02-19;2780882;28138147;3133122;2369719;0.0
2021-02-20;2795796;28211929;3133122;2378883;0.0
2021-02-21;2809246;28267194;3133122;2386559;0.0
2021-02-22;2818863;28322676;3153971;2390928;0.0
2021-02-23;2832162;28396535;3161432;2394811;0.0
2021-02-24;2848564;28471560;3170644;2402818;0.0
2021-02-25;2868435;28548839;3180212;2414687;0.0
2021-02-26;2888923;28624257;3188553;2424684;0.0
2021-02-27;2907825;28695545;3188553;2434446;0.0
2021-02-28;2925265;28747309;3188553;2442336;0.0
2021-03-01;2938371;28797749;3204531;2447068;0.0
2021-03-02;2955434;28856167;3130184;2451011;0.0
2021-03-03;2976274;28923217;3136321;2460030;0.0
2021-03-04;2999119;28992158;3142358;2471942;0.0
2021-03-05;3023129;29060036;3149012;2482522;0.0
2021-03-06;3046762;29121065;3149012;2492079;0.0
2021-03-07;3067486;29162675;3149012;2500182;0.0
2021-03-08;3081368;29206765;3160970;2505193;0.0
2021-03-09;3101093;29262267;3164982;2509445;0.0
2021-03-10;3123368;29320040;3172101;2518591;0.0
2021-03-11;3149017;29381828;3178356;2532947;0.0
2021-03-12;3175807;29444429;3183704;2545781;0.0
2021-03-13;3201838;29501249;3183704;2558455;0.0
2021-03-14;3223142;29540523;3183704;2569245;0.0
2021-03-15;3238394;29591555;3195062;2575849;0.0
2021-03-16;3258770;29645622;3200024;2581329;0.0
2021-03-17;3281810;29704896;3206116;2594764;0.0
2021-03-18;3306711;29767286;3212332;2612268;0.0
2021-03-19;3332418;29828918;3212332;2629750;0.0
2021-03-20;3356331;29887785;3212332;2645783;0.0
2021-03-21;3376376;29923163;3212332;2659516;0.0
2021-03-22;3400877;29970587;3228803;2667225;0.0
2021-03-23;3419616;30023445;3234319;2674710;0.0
2021-03-24;3440862;30111203;3234319;2690523;0.0
2021-03-25;3464543;30178829;3247738;2713180;0.0
2021-03-26;3488619;30255199;3255324;2734753;0.0
2021-03-27;3512453;30319254;3255324;2755225;0.0
2021-03-28;3532057;30365574;3255324;2772401;0.0
2021-03-29;3544957;30431446;3270825;2782273;0.0
2021-03-30;3561012;30493135;3275819;2791822;0.0
2021-03-31;3584899;30562665;3284353;2808873;0.0
2021-04-01;3607083;30639521;3291394;2833173;0.0
2021-04-02;3629000;30713544;3291394;2855061;0.0
2021-04-03;3650247;30778424;3300965;2873190;0.0
2021-04-04;3668264;30816347;3300965;2885386;0.0
2021-04-05;3678944;30883434;3311325;2893883;0.0
2021-04-06;3686707;30946260;3317948;2900768;0.0
2021-04-07;3700393;31022036;3326736;2910445;0.0
2021-04-08;3717602;31102102;3336637;2930852;0.0
2021-04-09;3736526;31186855;3347512;2956316;0.0
2021-04-10;3754077;31257390;3347512;2980413;0.0
2021-04-11;3769814;31304846;3347512;2998268;0.0
2021-04-12;3779594;31367029;3370256;3011513;0.0
2021-04-13;3793033;31447868;3376548;3022323;0.0
2021-04-14;3809193;31523472;3387022;3044016;0.0
2021-04-15;3826156;31597454;3396685;3073442;0.0
2021-04-16;3842079;31680926;3407283;3099273;0.0
2021-04-17;3857443;31736413;3407283;3123077;0.0
2021-04-18;3870131;31780239;3407283;3142262;0.0
2021-04-19;3878994;31838785;3428354;3153699;0.0
2021-04-20;3891063;31901225;3428354;3163308;0.0
2021-04-21;3904899;31965571;3446072;3188192;0.0
2021-04-22;3920945;32032290;3456886;3217710;0.0
2021-04-23;3935703;32095185;3468617;3245253;0.0
2021-04-24;3949517;32150156;3468617;3268645;0.0
2021-04-25;3962674;32184924;3468617;3287418;0.0
2021-04-26;3971114;32227211;3488469;3299325;0.0
2021-04-27;3981512;32279492;3496134;3310301;0.0
2021-04-28;3994894;32334678;3504799;3332532;0.0
2021-04-29;4009208;32393504;3514942;3357268;0.0
2021-04-30;4022653;32451606;3524077;3381597;0.0
2021-05-01;4035617;32500382;3524077;3400532;0.0
2021-05-02;4044762;32530938;3524077;3416822;0.0
2021-05-03;4050708;32575560;3540430;3425982;0.0
2021-05-04;4059821;32618455;3544945;3433516;0.0
2021-05-05;4070400;32664498;3551262;3451550;0.0
2021-05-06;4082198;32710677;3559222;3473503;0.0
2021-05-07;4092747;32759092;3567408;3491988;0.0
2021-05-08;4102921;32794746;3567408;3507673;0.0
2021-05-09;4111210;32817616;3567408;3520329;0.0
2021-05-10;4116287;32849992;3581392;3527251;0.0
2021-05-11;4123230;32885469;3586333;3533376;0.0
2021-05-12;4131078;32921620;3592751;3548285;0.0
2021-05-13;4139160;32960356;3598452;3565704;0.0
2021-05-14;4146722;33002573;3604799;3577040;0.0
2021-05-15;4153374;33033330;3604799;3584934;0.0
2021-05-16;4159122;33051022;3604799;3593434;0.0
2021-05-17;4162576;33076264;3615860;3598846;0.0
2021-05-18;4167025;33105179;3619848;3603055;0.0
